+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
|                    clk_2 |                    clk_2 |                                                                    red_pitaya_scope/set_b_tresh_reg[1]/CE|
|                    clk_2 |                    clk_2 |                                                                    red_pitaya_scope/set_b_tresh_reg[6]/CE|
|                    clk_2 |                    clk_2 |                                                                   red_pitaya_scope/set_b_tresh_reg[10]/CE|
|                    clk_2 |                    clk_2 |                                                                 red_pitaya_scope/set_a_filt_kk_reg[18]/CE|
|                    clk_2 |                    clk_2 |                                                                    red_pitaya_scope/set_b_tresh_reg[3]/CE|
|                    clk_2 |                    clk_2 |                                                                    red_pitaya_scope/set_b_tresh_reg[2]/CE|
|                    clk_2 |                    clk_2 |                                                                 red_pitaya_scope/set_a_filt_aa_reg[16]/CE|
|                    clk_2 |                    clk_2 |                                                                    red_pitaya_scope/set_b_tresh_reg[4]/CE|
|                    clk_2 |                    clk_1 |                                                                        linien_deltasigma1_sigma_reg[11]/D|
|                    clk_2 |                    clk_2 |                                                                 red_pitaya_scope/set_a_filt_kk_reg[21]/CE|
|                    clk_2 |                    clk_2 |                                                                 red_pitaya_scope/set_a_filt_kk_reg[24]/CE|
|                    clk_2 |                    clk_2 |                                                                 red_pitaya_scope/set_a_filt_kk_reg[16]/CE|
|                    clk_2 |                    clk_2 |                                                                 red_pitaya_scope/set_a_filt_kk_reg[15]/CE|
|                    clk_2 |                    clk_2 |                                                                 red_pitaya_scope/set_a_filt_kk_reg[14]/CE|
|                    clk_2 |                    clk_2 |                                                                    red_pitaya_scope/set_b_tresh_reg[9]/CE|
|                    clk_2 |                    clk_2 |                                                                   red_pitaya_scope/set_b_tresh_reg[11]/CE|
|                    clk_2 |                    clk_2 |                                                                  red_pitaya_scope/set_a_filt_kk_reg[1]/CE|
|                    clk_2 |                    clk_2 |                                                                 red_pitaya_scope/set_a_filt_kk_reg[23]/CE|
|                    clk_2 |                    clk_1 |                                                                        linien_deltasigma1_sigma_reg[13]/D|
+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
