x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004,x0005,y0005,x0006,y0006,x0007,y0007,x0008,y0008,x0009,y0009,x0010,y0010,x0011,y0011,x0012,y0012,x0013,y0013,x0014,y0014
,,,,,,,,,,,,,,70.,-0.0318603516,,,70.,0.1269680262,70.,-0.1672480702,,,,,,,,
,,,,,,,,,,,,,,71.,-0.0318603516,,,71.,0.0523087382,71.,-0.1673653722,,,,,,,,
,,,,,,,,,,,,,,72.,-0.0316162109,,,72.,-0.0588907599,72.,-0.1675251722,,,,,,,,
,,,,,,,,,,,,,,73.,-0.0313720703,,,73.,-0.1223333478,73.,-0.1675758362,,,,,,,,
,,,,,,,,,,,,,,74.,-0.0314941406,,,74.,0.0177323818,74.,-0.1673715711,,,,,,,,
,,,,,,,,,,,,,,75.,-0.0318603516,,,75.,0.1292470694,75.,-0.1672292352,,,,,,,,
,,,,,,,,,,,,,,76.,-0.0318603516,,,76.,0.0756931305,76.,-0.1673364639,,,,,,,,
,,,,,,,,,,,,,,77.,-0.0316162109,,,77.,-0.0406231880,77.,-0.1675186753,,,,,,,,
,,,,,,,,,,,,,,78.,-0.0313720703,,,78.,-0.1289072037,78.,-0.1675643921,,,,,,,,
,,,,,,,,,,,,,,79.,-0.0313720703,,,79.,-0.0680704713,79.,-0.1675084233,,,,,,,,
,,,,,,,,,,,,,,80.,-0.0314941406,,,80.,0.0408170223,80.,-0.1673144698,,,,,,,,
,,,,,,,,,,,,,,81.,-0.0318603516,,,81.,0.1268000007,81.,-0.1672813892,,,,,,,,
,,,,,,,,,,,,,,82.,-0.0318603516,,,82.,0.0581101179,82.,-0.1673484445,,,,,,,,
,,,,,,,,,,,,,,83.,-0.0316162109,,,83.,-0.0562582016,83.,-0.1675246358,,,,,,,,
,,,,,,,,,,,,,,84.,-0.0313720703,,,84.,-0.1251404285,84.,-0.1676009297,,,,,,,,
,,,,,,,,,,,,,,85.,-0.0313720703,,,85.,-0.0509791970,85.,-0.1674367189,,,,,,,,
,,,,,,,,,,,,,,86.,-0.0316162109,,,86.,0.0582667589,86.,-0.1672852635,,,,,,,,
,,,,,,,,,,,,,,87.,-0.0318603516,,,87.,0.1271436214,87.,-0.1672380567,,,,,,,,
,,,,,,,,,,,,,,88.,-0.0317382812,,,88.,0.0472868085,88.,-0.1673613787,,,,,,,,
,,,,,,,,,,,,,,89.,-0.0316162109,,,89.,-0.0700035691,89.,-0.167552948,,,,,,,,
,,,,,,,,,,,,,,90.,-0.0313720703,,,90.,-0.1290409565,90.,-0.1676009893,,,,,,,,
,,,,,,,,,,,,,,91.,-0.0313720703,,,91.,-0.0409336090,91.,-0.1674481630,,,,,,,,
,,,,,,,,,,,,,,92.,-0.0316162109,,,92.,0.0747767687,92.,-0.1672865748,,,,,,,,
,,,,,,,,,,,,,,93.,-0.0318603516,,,93.,0.1156738400,93.,-0.1672990918,,,,,,,,
,,,,,,,,,,,,,,94.,-0.0317382812,,,94.,0.0206605792,94.,-0.1674120426,,,,,,,,
,,,,,,,,,,,,,,95.,-0.0314941406,,,95.,-0.0916839242,95.,-0.1675568819,,,,,,,,
,,,,,,,,,,,,,,96.,-0.0313720703,,,96.,-0.1288575530,96.,-0.1675826907,,,,,,,,
,,,,,,,,,,,,,,97.,-0.0314941406,,,97.,-0.0058962703,97.,-0.1673763394,,,,,,,,
,,,,,,,,,,,,,,98.,-0.0317382812,,,98.,0.1021645665,98.,-0.1672700047,,,,,,,,
,,,,,,,,,,,,,,99.,-0.0318603516,,,99.,0.1252734065,99.,-0.167293489,,,,,,,,
,,,,,,,,,,,,,,100.,-0.0318603516,,,100.,0.0527313352,100.,-0.1673461795,,,,,,,,
,,,,,,,,,,,,,,101.,-0.0316162109,,,101.,-0.0657211542,101.,-0.167539835,,,,,,,,
,,,,,,,,,,,,,,102.,-0.0313720703,,,102.,-0.1192439198,102.,-0.1675708294,,,,,,,,
,,,,,,,,,,,,,,103.,-0.0314941406,,,103.,-0.0329794884,103.,-0.1674451232,,,,,,,,
,,,,,,,,,,,,,,104.,-0.0316162109,,,104.,0.0841420293,104.,-0.1672592163,,,,,,,,
,,,,,,,,,,,,,,105.,-0.0318603516,,,105.,0.1055290103,105.,-0.1673127413,,,,,,,,
,,,,,,,,,,,,,,106.,-0.0317382812,,,106.,0.0003377795,106.,-0.1674367785,,,,,,,,
,,,,,,,,,,,,,,107.,-0.0314941406,,,107.,-0.1053500772,107.,-0.1675741673,,,,,,,,
,,,,,,,,,,,,,,108.,-0.0313720703,,,108.,-0.1235612035,108.,-0.1675704122,,,,,,,,
,,,,,,,,,,,,,,109.,-0.0314941406,,,109.,0.0224763751,109.,-0.1673600674,,,,,,,,
,,,,,,,,,,,,,,110.,-0.0317382812,,,110.,0.1168771386,110.,-0.1672436595,,,,,,,,
