error_signal,power_signal,t
1023,845879,67799.56
1023,833270,67799.692
1022,444712,67799.82
1023,339637,67799.943
1022,318638,67800.066
1023,1422311,67800.19
1023,1422416,67800.314
1023,1367258,67800.445
1022,429766,67800.564
1023,470052,67800.718
1023,1208994,67800.862
1023,263625,67800.987
1023,384127,67801.12
1023,782483,67801.247
1023,321888,67801.373
1023,1178894,67801.504
1023,457253,67801.625
1023,526070,67801.743
1023,1412216,67801.871
1023,1098631,67801.992
1023,1357033,67802.116
1022,424734,67802.242
1023,422154,67802.364
1023,852029,67802.493
1022,218380,67802.619
1021,66840,67802.739
1023,201393,67802.864
1023,313632,67802.988
1023,516741,67803.111
1023,832626,67803.233
1023,1439894,67803.359
1023,767111,67803.485
1023,1388767,67803.631
1023,808721,67803.758
1023,701602,67803.885
1023,690691,67804.009
1022,205366,67804.131
1023,1318151,67804.256
1023,785202,67804.38
1023,1436371,67804.509
1023,893695,67804.638
1023,1345476,67804.756
1023,856145,67804.88
1023,882683,67805.02
1023,1353459,67805.147
1023,1414642,67805.272
1023,1135090,67805.395
1023,1365358,67805.52
1023,543017,67805.651
1023,274747,67805.794
1022,369926,67805.911
1023,962799,67806.035
1023,598870,67806.162
1023,1218411,67806.286
1023,593651,67806.41
1023,963817,67806.536
1023,871167,67806.659
1023,1406713,67806.803
1023,570317,67806.922
1023,540524,67807.047
1023,672203,67807.169
1023,1223467,67807.293
1023,701595,67807.42
1023,1422228,67807.544
1023,1323286,67807.665
1023,766985,67807.79
1023,1270838,67807.915
1023,832632,67808.041
1023,1422246,67808.165
1023,1094720,67808.289
1023,1411348,67808.414
1023,1425648,67808.539
1023,1422499,67808.689
1023,1422396,67808.83
1023,1422157,67808.987
1023,1422276,67809.11
1023,1378809,67809.237
1023,1422327,67809.36
1023,1422266,67809.482
1023,1422302,67809.612
1023,1422545,67809.73
1023,1422395,67809.857
1023,1225679,67809.999
1023,1436911,67810.116
1023,1414348,67810.246
1023,1383709,67810.371
1023,1422554,67810.502
1023,1430745,67810.636
1023,1313003,67810.759
1023,1376574,67810.882
1023,1280597,67811.006
1009,685,67811.134
1023,645337,67811.255
1023,689009,67811.38
1023,1422292,67811.506
1023,1160195,67811.636
1023,570341,67811.751
1023,1406245,67811.876
1023,1390590,67812.018
1023,1421708,67812.14
1023,1029084,67812.264
1023,1422181,67812.389
1023,1422315,67812.51
1023,1422236,67812.862
1023,1029001,67813.09
1023,1422571,67813.21
1023,959986,67813.335
1023,1291262,67813.474
1023,1422570,67813.613
1023,1382057,67813.735
1023,1439130,67813.863
1023,767061,67813.984
1023,1401284,67814.109
1023,1384267,67814.246
1023,1160350,67814.375
1023,701623,67814.494
1023,570433,67814.624
1023,1202553,67814.747
1023,767038,67814.869
1023,964303,67814.995
1023,1416941,67815.119
1023,1291076,67815.26
1023,1225804,67815.384
1023,1434550,67815.504
1023,1389523,67815.635
1023,916966,67815.753
1023,1422099,67815.878
1023,698715,67816.009
1023,1418773,67816.127
1023,464411,67816.261
1023,1435054,67816.392
1023,785617,67816.521
1023,1398982,67816.648
1023,592367,67816.992
1023,1422114,67817.162
1023,1422323,67817.309
1023,1422325,67817.441
1023,1422332,67817.567
1023,1422102,67817.69
1023,1422347,67817.812
1023,1422319,67817.941
1023,1422431,67818.064
1023,1387443,67818.182
1023,1422309,67818.305
1023,1422523,67818.432
1023,1422085,67818.558
1023,1422257,67818.684
1023,1422312,67818.804
1023,1422585,67818.955
1023,1029350,67819.085
1023,1422324,67819.439
1023,1386068,67819.617
1023,1422083,67819.836
1023,1422313,67820.001
1023,1184549,67820.122
1023,1422217,67820.251
1023,1422298,67820.373
1023,1422100,67820.498
1023,1422086,67820.632
1023,1422084,67820.747
1023,1422290,67820.873
1023,1422314,67820.998
1023,1439237,67821.123
1023,1120286,67821.252
1023,1422303,67821.378
1023,1383655,67821.673
1023,1422315,67821.811
1023,1226771,67821.936
1023,1195657,67822.061
1023,1422317,67822.181
1023,1422580,67822.305
1023,1422430,67822.427
1023,1422308,67822.551
1023,1422537,67822.68
1023,1422315,67822.798
1023,1422310,67822.925
1023,1286565,67823.049
1023,1422308,67823.175
1023,1422093,67823.301
1023,1413209,67823.422
1023,1422317,67823.544
1023,1422588,67823.689
1023,1422537,67823.983
1023,1422307,67824.106
1023,1422098,67824.229
1023,1422388,67824.353
1023,1422296,67824.476
1023,1422297,67824.611
1023,1422309,67824.761
1023,1422270,67824.882
1023,1422269,67825.006
1023,1422588,67825.134
1023,1383670,67825.252
1023,1422289,67825.377
1023,1357027,67825.504
1023,1422565,67825.64
1023,1422253,67825.767
1023,1157143,67825.906
1023,1422310,67826.034
1023,1422293,67826.156
1023,1422303,67826.295
1023,1422301,67826.42
1023,1422326,67826.546
1023,1422328,67826.675
