time_offset_fs,v1,v2,error_signal_E,estimated_time_offset_fs
994.0,0.004758962320169575,0.0020008255744786486,0.4080211966228356,113.526619973332
995.0,0.004735327907539152,0.0020008118478129556,0.40594704965162337,112.80706846098215
996.0,0.0047118613667759355,0.0020007983391948903,0.40387315108042626,112.08978062402042
997.0,0.004688561853761769,0.0020007850453380212,0.4017995850664362,111.37477353362057
998.0,0.004665428525261707,0.0020007719630024717,0.39972643591358425,110.662063970607
999.0,0.0046424605389592585,0.002000759088994309,0.39765378805919765,109.95166842479745
1000.0,0.004619657053491279,0.0020007464201649405,0.39558172606057274,109.24360309444145
1001.0,0.004597017228482494,0.002000733953410516,0.39351033458146556,108.53788388575329
1002.0,0.004574540224579666,0.0020007216856713396,0.391439698378505,107.8345264125386
1003.0,0.004552225203485396,0.002000709613931286,0.3893699022875336,107.13354599591456
1004.0,0.00453007132799158,0.002000697735217224,0.3873010312098807,106.43495766412259
1005.0,0.004508077762012484,0.0020006860465984497,0.3852331700985703,105.73877615243215
1006.0,0.004486243670617481,0.0020006745451861237,0.38316640394447193,105.0450159031359
1007.0,0.004464568220063421,0.002000663228132715,0.38110081776239574,104.35369106563418
1008.0,0.004443050577826645,0.0020006520926314536,0.37903649657713884,103.66481549660861
1009.0,0.004421689912634641,0.0020006411359157887,0.3769735254094854,102.97840276028279
1010.0,0.004400485394497352,0.0020006303552588525,0.3749119892621691,102.29446612877047
1011.0,0.00437943619473812,0.002000619747972932,0.372851973105798,101.61301858250826
1012.0,0.0043585414860242795,0.002000609311408948,0.37079356186474993,100.93407281077303
1013.0,0.004337800442397396,0.002000599042955935,0.368736840403043,100.25764121228202
1014.0,0.00431721223930316,0.0020005889400405356,0.36668189351018465,99.58373589587458
1015.0,0.004296776053620912,0.0020005790001264958,0.3646288058870054,98.91236868127407
1016.0,0.004276491063692838,0.002000569220714165,0.362577662131483,98.24355109992885
1017.0,0.004256356449352797,0.002000559599340009,0.36052854672455914,97.57729439593007
1018.0,0.004236371391954813,0.0020005501335761205,0.3584815440159579,96.91360952700607
1019.0,0.004216535074401202,0.0020005408210297428,0.35643673821000615,96.25250716559032
1020.0,0.004196846681170371,0.002000531659342794,0.354394213351466,95.59399769996263
1021.0,0.004177305398344258,0.0020005226461914023,0.35235405331137987,94.9380912354614
1022.0,0.0041579104136354305,0.0020005137792854393,0.350316341772937,94.28479759576541
1023.0,0.004138660916413838,0.0020005050563680687,0.34828116221736277,93.6341263242431
1024.0,0.004119556097733221,0.0020004964752152925,0.3462485979098395,92.9860866853685
1025.0,0.004100595150357185,0.0020004880336355075,0.34421873188546137,92.34068766620126
1026.0,0.004081777268784924,0.0020004797294690653,0.34219164693522963,91.69793797792934
1027.0,0.004063101649276599,0.002000471560587838,0.34016742559209157,91.05784605747233
1028.0,0.0040445674898784,0.0020004635248947896,0.3381461501170322,90.42042006914461
1029.0,0.0040261739904472425,0.002000455620323553,0.3361279024852174,89.78566790637457
1030.0,0.004007920352675151,0.002000447844838011,0.33411276437220083,89.1535971934804
1031.0,0.003989805780113286,0.0020004401964318855,0.3321008171401923,88.52421528749828
1032.0,0.0039718294781956555,0.002000432673128327,0.33009214182439944,87.89752928006334
1033.0,0.003953990654262476,0.002000425272979514,0.3280868191194411,87.2735459993392
1034.0,0.003936288517583217,0.002000417994066255,0.3260849293658436,86.6522720119966
1035.0,0.003918722279379308,0.002000410834497595,0.3240865525366199,86.0337136252372
1036.0,0.0039012911528465066,0.0020004037924104294,0.3220917682239369,85.41787688886113
1037.0,0.0038839943531769573,0.002000396865969119,0.3201006556258813,84.80476759737812
1038.0,0.00386683109758091,0.0020003900533651156,0.3181132935333197,84.19439129215708
1039.0,0.0038498006053081166,0.0020003833528165847,0.31612976031686524,83.58675326361526
1040.0,0.0038329020976689008,0.002000376762568039,0.3141501339139523,82.98185855344335
1041.0,0.0038161347980549126,0.0020003702808899767,0.31217449181602275,82.37971195686491
1042.0,0.003799497931959552,0.002000363906078517,0.31020291105583153,81.78031802492875
1043.0,0.003782990726998077,0.0020003576364550513,0.3082354681948727,81.1836810668317
1044.0,0.0037666124129273953,0.0020003514703658895,0.30627223931093256,80.5898051522703
1045.0,0.0037503622216655324,0.002000345406181914,0.30431329998577394,79.99869411381951
1046.0,0.0037342393873107884,0.0020003394422982413,0.30235872529295416,79.41035154933613
1047.0,0.00371824314616058,0.0020003335771338823,0.30040858978578383,78.82478082438581
1048.0,0.0037023727367299676,0.0020003278091314113,0.2984629674854279,78.24198507469126
1049.0,0.0036866273997698696,0.002000322136756637,0.29652193186915454,77.6619672085998
1050.0,0.003671006378284976,0.0020003165584982783,0.29458555585873664,77.08472990956939
1051.0,0.0036555089175513357,0.002000311072867644,0.2926539118090064,76.51027563866957
1052.0,0.003640134265133658,0.002000305678398319,0.2907270714965715,75.93860663709754
1053.0,0.0036248816709022885,0.0020003003736458478,0.2888051061086933,75.36972492870638
1054.0,0.003609750387049898,0.0020002951571874332,0.28688808623233114,74.8036323225439
1055.0,0.003594739668107855,0.002000290027621627,0.2849760818433589,74.24033041540108
1056.0,0.003579848770962309,0.0020002849835680315,0.2830691622959535,73.67982059436756
1057.0,0.0035650769548699664,0.0020002800236670055,0.2811673963121619,73.12210403939316
1058.0,0.003550423481473569,0.0020002751465793703,0.27927085197164736,72.56718172585359
1059.0,0.003535887614817086,0.002000270350986121,0.2773795967016219,72.01505442711917
1060.0,0.0035214686213605956,0.0020002656355881426,0.2754936972669627,71.46572271712417
1061.0,0.00350716576999489,0.0020002609991059297,0.2736132197605213,70.91918697293647
1062.0,0.003492978332055777,0.002000256440279307,0.2717382295936239,70.37544737732509
1063.0,0.003478905581338098,0.002000251957867159,0.26986879148676846,69.83450392132461
1064.0,0.003464946794109457,0.0020002475506471556,0.26800496946051977,69.29635640679513
1065.0,0.0034511012491236634,0.0020002432174154893,0.26614682682660623,68.76100444897621
1066.0,0.0034373682276338862,0.0020002389569866103,0.2642944261792196,68.2284474790337
1067.0,0.0034237470134055375,0.002000234768192967,0.26244782938652245,67.69868474659822
1068.0,0.0034102368927288545,0.0020002306498847506,0.26060709758236156,67.17171532229347
1069.0,0.0033968371544312232,0.0020002266009296406,0.258772291158195,66.64753810025435
1070.0,0.0033835470898892096,0.002000222620212557,0.25694346975522925,66.12615180063236
1071.0,0.0033703659930403237,0.002000218706635413,0.2551206922567736,65.60755497208844
1072.0,0.0033572931603945005,0.002000214859116873,0.253304016780809,65.09174599427116
1073.0,0.003344327891045318,0.0020002110765921103,0.25149350067277726,64.57872308028
1074.0,0.003331469486680937,0.002000207358012575,0.24968920049858892,64.06848427911214
1075.0,0.003318717251594775,0.0020002037023457556,0.24789117203785418,63.561027478092456
1076.0,0.0033060704926959118,0.002000200108574952,0.24609947027733578,63.05635040528509
1077.0,0.00329352851951923,0.002000196575699047,0.2443141494046273,62.55445063188646
1078.0,0.0032810906442352935,0.002000193102732282,0.2425352628020567,62.05532557459833
1079.0,0.0032687561816599556,0.0020001896887040346,0.24076286304081648,61.558972497980434
1080.0,0.003256524449263721,0.002000186332658604,0.23899700187532236,61.06538851678204
1081.0,0.0032443947671808356,0.0020001830336549907,0.23723773023780012,60.57457059825144
1082.0,0.0032323664582181288,0.0020001797907666864,0.23548509823310274,60.08651556442319
1083.0,0.0032204388478635957,0.002000176603081466,0.23373915513375565,59.601220094381574
1084.0,0.003208611264294728,0.0020001734697011764,0.23199994937523594,59.11868072650137
1085.0,0.0031968830383865953,0.0020001703897415363,0.2302675285514795,58.638893860663366
1086.0,0.0031852535037196735,0.002000167362331933,0.22854193941062184,58.16185576044594
1087.0,0.003173721996587428,0.002000164386615224,0.22682322785096962,57.68756255529108
1088.0,0.003162287856003651,0.00200016146174754,0.22511143891720448,57.216010242645126
1089.0,0.003150950423709553,0.002000158586898095,0.22340661679681784,56.74719469007331
1090.0,0.0031397090441806176,0.002000155761248991,0.22170880481677935,56.28111163734864
1091.0,0.003128563064633204,0.0020001529839950324,0.22001804544043424,55.81775669851353
1092.0,0.0031175118350309254,0.0020001502543435415,0.21833438026463356,55.35712536391521
1093.0,0.003106554708090785,0.0020001475715141722,0.21665785001709595,54.89921300221437
1094.0,0.0030956910392890683,0.002000144934738732,0.21498849455399674,54.44401486236583
1095.0,0.003084920186867022,0.002000142343261002,0.21332635285779053,53.99152607557308
1096.0,0.00307424151183628,0.0020001397963365637,0.2116714630352588,53.5417416572143
1097.0,0.0030636543779840797,0.0020001372932326226,0.2100238623157893,53.09465650874209
1098.0,0.0030531581518782325,0.0020001348332278402,0.20838358704987864,52.65026541955452
1099.0,0.003042752202871888,0.0020001324156121627,0.2067506727078655,52.20856306884001
1100.0,0.0030324359031080566,0.002000130039686657,0.20512515387888466,51.76954402739358
1101.0,0.0030222086275239245,0.002000127704763344,0.20350706427004764,51.33320275940653
1102.0,0.0030120697538549386,0.0020001254101650406,0.2018964367058442,50.89953362422833
1103.0,0.0030020186626386787,0.0020001231552251955,0.20029330312776597,50.46853087810158
1104.0,0.0029920547372185146,0.0020001209392877368,0.19869769459414888,50.04018867586978
