x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004,x0005,y0005,x0006,y0006,x0007,y0007,x0008,y0008,x0009,y0009,x0010,y0010,x0011,y0011,x0012,y0012,x0013,y0013,x0014,y0014
,,,,,,,,,,,,,,88.,0.0303955078,,,88.,-0.1666619778,88.,-0.0159572959,,,,,,,,
,,,,,,,,,,,,,,89.,0.0305175781,,,89.,-0.1664466262,89.,0.1160175204,,,,,,,,
,,,,,,,,,,,,,,90.,0.0306396484,,,90.,-0.1667017937,90.,0.0201519132,,,,,,,,
,,,,,,,,,,,,,,91.,0.0303955078,,,91.,-0.1668816805,91.,-0.1174641252,,,,,,,,
,,,,,,,,,,,,,,92.,0.0302734375,,,92.,-0.1668191552,92.,-0.0919941664,,,,,,,,
,,,,,,,,,,,,,,93.,0.0305175781,,,93.,-0.1664785743,93.,0.1174706817,,,,,,,,
,,,,,,,,,,,,,,94.,0.0306396484,,,94.,-0.1667020321,94.,0.0174886584,,,,,,,,
,,,,,,,,,,,,,,95.,0.0303955078,,,95.,-0.1668996811,95.,-0.1213260293,,,,,,,,
,,,,,,,,,,,,,,96.,0.0303955078,,,96.,-0.1666582823,96.,-0.0093070269,,,,,,,,
,,,,,,,,,,,,,,97.,0.0305175781,,,97.,-0.1664456129,97.,0.1206694841,,,,,,,,
,,,,,,,,,,,,,,98.,0.0306396484,,,98.,-0.1666648984,98.,0.0063555241,,,,,,,,
,,,,,,,,,,,,,,99.,0.0303955078,,,99.,-0.1669077873,99.,-0.1217364073,,,,,,,,
,,,,,,,,,,,,,,100.,0.0302734375,,,100.,-0.1668265462,100.,-0.0835465193,,,,,,,,
,,,,,,,,,,,,,,101.,0.0305175781,,,101.,-0.166492939,101.,0.1217446923,,,,,,,,
,,,,,,,,,,,,,,102.,0.0306396484,,,102.,-0.1665676832,102.,0.082490623,,,,,,,,
,,,,,,,,,,,,,,103.,0.0303955078,,,103.,-0.1668971181,103.,-0.1225290895,,,,,,,,
,,,,,,,,,,,,,,104.,0.0302734375,,,104.,-0.1667689681,104.,-0.0818642974,,,,,,,,
,,,,,,,,,,,,,,105.,0.0303955078,,,105.,-0.1665346026,105.,0.0660510063,,,,,,,,
,,,,,,,,,,,,,,106.,0.0306396484,,,106.,-0.1665795445,106.,0.0793559551,,,,,,,,
,,,,,,,,,,,,,,107.,0.0305175781,,,107.,-0.1667999625,107.,-0.0759468079,,,,,,,,
,,,,,,,,,,,,,,108.,0.0302734375,,,108.,-0.1667827368,108.,-0.0767572522,,,,,,,,
,,,,,,,,,,,,,,109.,0.0305175781,,,109.,-0.1665256023,109.,0.079161644,,,,,,,,
,,,,,,,,,,,,,,110.,0.0306396484,,,110.,-0.1664946079,110.,0.1226599216,,,,,,,,
,,,,,,,,,,,,,,111.,0.0305175781,,,111.,-0.1668125987,111.,-0.0748420358,,,,,,,,
,,,,,,,,,,,,,,112.,0.0302734375,,,112.,-0.1669129133,112.,-0.1249676347,,,,,,,,
,,,,,,,,,,,,,,113.,0.0303955078,,,113.,-0.1666460633,113.,-0.0065491199,,,,,,,,
,,,,,,,,,,,,,,114.,0.0306396484,,,114.,-0.1664581299,114.,0.1254484057,,,,,,,,
,,,,,,,,,,,,,,115.,0.0306396484,,,115.,-0.1666985154,115.,0.0126019716,,,,,,,,
